BURNS,"165,925",80.26%,14.06%,0.59%,0.78%,1.83%,2.48%
CRAWFORD,"164,457",68.56%,25.65%,0.49%,0.75%,2.30%,2.24%
OLSON,"164,035",94.76%,0.40%,0.66%,0.72%,1.43%,2.03%
SIMPSON,"163,181",70.78%,23.09%,0.53%,0.78%,2.30%,2.53%
PORTER,"163,054",68.57%,25.40%,0.55%,0.72%,2.31%,2.45%
HUNTER,"162,440",60.78%,32.69%,0.48%,1.02%,2.63%,2.41%
GORDON,"161,833",64.25%,29.15%,0.62%,0.68%,2.26%,3.04%
MENDEZ,"161,717",4.48%,0.78%,0.48%,0.24%,0.18%,93.83%
SILVA,"161,633",32.61%,2.03%,2.01%,0.39%,1.62%,61.34%
SHAW,"160,400",72.07%,21.19%,1.48%,0.75%,2.15%,2.36%
SNYDER,"160,262",94.07%,1.46%,0.59%,0.52%,1.45%,1.92%
MASON,"160,213",68.82%,25.10%,0.53%,0.76%,2.38%,2.41%
DIXON,"159,480",54.25%,39.26%,0.43%,0.96%,2.61%,2.49%
MUNOZ,"158,483",4.89%,0.30%,0.91%,0.21%,0.21%,93.48%
HUNT,"158,421",73.57%,16.93%,0.61%,4.23%,2.35%,2.31%
HICKS,"158,320",67.37%,26.88%,0.42%,0.98%,2.23%,2.13%
HOLMES,"156,780",56.79%,37.28%,0.42%,0.76%,2.37%,2.38%
PALMER,"156,601",75.08%,18.57%,0.55%,0.81%,2.11%,2.87%
WAGNER,"155,795",92.47%,2.60%,0.58%,0.54%,1.40%,2.41%
BLACK,"154,738",74.63%,19.00%,0.53%,1.44%,2.08%,2.33%
ROBERTSON,"153,666",73.42%,20.61%,0.52%,0.89%,2.11%,2.46%
BOYD,"153,469",63.18%,30.77%,0.51%,1.02%,2.36%,2.16%
ROSE,"153,397",82.08%,11.61%,0.72%,0.64%,1.99%,2.96%
STONE,"153,329",85.95%,8.13%,0.65%,0.95%,1.93%,2.39%
SALAZAR,"152,703",5.62%,0.27%,1.69%,0.46%,0.30%,91.65%
FOX,"152,334",88.08%,6.06%,0.56%,1.03%,1.84%,2.42%
WARREN,"152,147",70.08%,23.94%,0.55%,0.84%,2.26%,2.33%
MILLS,"151,942",77.50%,16.77%,0.51%,0.82%,2.06%,2.33%
MEYER,"150,895",94.84%,0.52%,0.71%,0.29%,1.37%,2.28%
RICE,"149,500",77.63%,16.74%,0.57%,0.74%,1.99%,2.33%
SCHMIDT,"147,034",95.15%,0.37%,0.61%,0.34%,1.19%,2.34%
GARZA,"147,005",6.66%,0.24%,0.17%,0.28%,0.15%,92.49%
DANIELS,"146,570",54.67%,38.54%,0.51%,0.91%,2.68%,2.70%
FERGUSON,"146,426",74.83%,19.19%,0.60%,0.62%,2.23%,2.53%
NICHOLS,"145,584",82.42%,11.88%,0.52%,0.76%,1.99%,2.43%
STEPHENS,"144,646",73.90%,20.31%,0.46%,0.67%,2.12%,2.54%
SOTO,"144,451",5.15%,0.48%,0.44%,0.26%,0.22%,93.45%
WEAVER,"143,837",84.41%,9.99%,0.52%,1.09%,1.87%,2.12%
RYAN,"143,452",91.65%,3.02%,0.89%,0.43%,1.46%,2.55%
GARDNER,"142,894",75.01%,19.40%,0.56%,0.70%,2.04%,2.29%
PAYNE,"142,601",71.55%,22.63%,0.45%,0.58%,2.37%,2.42%
GRANT,"142,277",55.36%,37.91%,0.52%,1.08%,2.35%,2.79%
DUNN,"141,427",80.08%,14.39%,0.75%,0.59%,1.94%,2.25%
KELLEY,"140,693",83.78%,10.80%,0.55%,0.66%,2.03%,2.18%
SPENCER,"139,951",69.41%,23.22%,0.76%,1.47%,2.48%,2.67%
HAWKINS,"139,751",61.08%,32.75%,0.48%,0.69%,2.50%,2.50%
ARNOLD,"138,893",81.27%,13.34%,0.57%,0.55%,1.87%,2.41%
PIERCE,"138,629",80.98%,12.86%,0.53%,1.06%,2.10%,2.47%
VAZQUEZ,"138,322",3.53%,0.35%,0.18%,0.06%,0.12%,95.75%
HANSEN,"137,977",94.22%,0.53%,0.74%,0.49%,1.47%,2.54%
PETERS,"137,513",82.86%,10.41%,0.98%,1.33%,1.86%,2.55%
SANTOS,"137,232",20.06%,2.31%,13.32%,0.27%,1.85%,62.20%
HART,"137,184",80.54%,13.64%,0.56%,0.73%,2.01%,2.52%
BRADLEY,"136,720",69.12%,25.09%,0.44%,0.82%,2.19%,2.34%
KNIGHT,"136,713",72.31%,21.61%,0.52%,0.90%,2.17%,2.50%
ELLIOTT,"135,765",81.62%,12.96%,0.54%,0.66%,2.00%,2.21%
CUNNINGHAM,"135,718",73.16%,21.18%,0.53%,0.48%,2.07%,2.58%
DUNCAN,"135,187",76.39%,17.33%,0.52%,0.99%,2.21%,2.55%
ARMSTRONG,"135,044",72.39%,21.01%,0.58%,0.93%,2.31%,2.79%
HUDSON,"134,963",66.88%,27.42%,0.46%,0.84%,2.20%,2.20%
CARROLL,"134,317",82.95%,11.48%,0.61%,0.67%,1.92%,2.36%
LANE,"134,227",77.14%,16.88%,0.61%,0.92%,2.12%,2.33%
RILEY,"133,872",72.79%,21.27%,0.51%,0.87%,2.08%,2.48%
ANDREWS,"133,799",71.78%,21.58%,0.78%,1.09%,2.20%,2.57%
ALVARADO,"133,501",4.29%,0.33%,0.53%,0.23%,0.20%,94.42%
RAY,"133,171",74.97%,17.54%,1.94%,0.93%,2.05%,2.56%
DELGADO,"132,985",5.57%,0.72%,0.80%,0.19%,0.25%,92.47%
BERRY,"132,812",70.66%,23.11%,0.56%,0.80%,2.34%,2.53%
PERKINS,"131,440",69.45%,24.60%,0.53%,0.73%,2.33%,2.37%
HOFFMAN,"131,401",94.08%,1.26%,0.63%,0.56%,1.34%,2.12%
JOHNSTON,"131,373",91.62%,2.41%,0.68%,0.83%,1.84%,2.62%
MATTHEWS,"131,303",63.37%,30.67%,0.62%,0.58%,2.36%,2.39%
PENA,"130,776",5.34%,0.52%,1.09%,0.31%,0.24%,92.50%
RICHARDS,"130,529",78.67%,14.86%,0.66%,1.04%,1.96%,2.81%
CONTRERAS,"130,164",4.19%,0.21%,0.55%,0.25%,0.16%,94.64%
WILLIS,"130,152",62.22%,31.07%,0.51%,1.33%,2.55%,2.31%
CARPENTER,"129,898",86.21%,8.49%,0.57%,0.68%,1.87%,2.18%
LAWRENCE,"129,699",68.87%,24.65%,0.74%,0.93%,2.30%,2.50%
SANDOVAL,"128,948",5.29%,0.21%,0.55%,1.77%,0.25%,91.93%
GUERRERO,"128,677",4.55%,0.33%,2.20%,0.22%,0.43%,92.27%
GEORGE,"128,625",66.47%,18.46%,7.62%,2.24%,2.04%,3.16%
CHAPMAN,"127,939",79.51%,14.62%,0.57%,0.81%,2.03%,2.47%
RIOS,"127,794",4.99%,0.44%,0.43%,0.32%,0.22%,93.61%
ESTRADA,"127,470",4.58%,0.43%,1.66%,0.20%,0.28%,92.86%
ORTEGA,"127,256",4.77%,0.29%,1.15%,0.43%,0.25%,93.11%
WATKINS,"127,083",62.03%,32.27%,0.42%,0.64%,2.56%,2.09%
GREENE,"126,101",67.70%,26.54%,0.48%,0.73%,2.34%,2.21%
NUNEZ,"125,350",5.28%,0.67%,0.83%,0.26%,0.23%,92.72%
WHEELER,"125,058",80.96%,13.29%,0.50%,0.93%,1.97%,2.35%
VALDEZ,"124,995",6.29%,0.48%,3.35%,0.65%,0.56%,88.66%
HARPER,"124,461",67.90%,26.22%,0.49%,0.72%,2.36%,2.31%
BURKE,"122,877",85.93%,8.76%,0.68%,0.54%,1.68%,2.41%
LARSON,"122,587",94.79%,0.49%,0.74%,0.62%,1.41%,1.95%
SANTIAGO,"122,212",5.41%,1.31%,4.50%,0.14%,0.58%,88.06%
MALDONADO,"121,526",4.97%,0.50%,0.40%,0.19%,0.23%,93.71%
MORRISON,"121,130",79.11%,14.82%,0.61%,0.98%,1.99%,2.49%
FRANKLIN,"120,621",54.38%,38.76%,0.54%,0.83%,2.78%,2.70%
CARLSON,"120,552",94.83%,0.46%,0.77%,0.49%,1.38%,2.07%
AUSTIN,"119,706",67.47%,26.01%,0.61%,0.80%,2.34%,2.78%
DOMINGUEZ,"119,304",5.04%,0.38%,1.03%,0.25%,0.21%,93.09%
CARR,"119,076",73.61%,20.82%,0.49%,0.59%,2.08%,2.41%
LAWSON,"119,053",73.84%,20.74%,0.43%,0.65%,2.15%,2.20%
JACOBS,"118,614",74.28%,16.71%,0.59%,3.75%,2.16%,2.52%
OBRIEN,"118,557",93.85%,1.29%,0.76%,0.37%,1.42%,2.32%
LYNCH,"117,708",82.30%,11.74%,0.59%,1.07%,1.78%,2.52%
SINGH,"116,749",4.29%,4.48%,82.77%,1.15%,4.81%,2.50%
VEGA,"116,673",5.53%,0.56%,0.73%,0.22%,0.29%,92.68%
BISHOP,"116,618",84.44%,10.14%,0.61%,0.57%,1.86%,2.37%
MONTGOMERY,"115,953",67.86%,26.23%,0.59%,0.61%,2.37%,2.35%
OLIVER,"115,900",64.19%,27.45%,0.68%,0.74%,2.43%,4.52%
JENSEN,"115,679",93.97%,0.44%,0.73%,0.82%,1.40%,2.64%
HARVEY,"115,662",68.00%,25.00%,0.52%,1.71%,2.25%,2.52%
WILLIAMSON,"114,959",77.17%,17.41%,0.50%,0.70%,1.94%,2.27%
GILBERT,"114,940",77.80%,15.92%,0.57%,0.69%,2.04%,2.98%
DEAN,"114,030",76.61%,16.82%,1.06%,0.68%,2.20%,2.63%
SIMS,"113,374",54.29%,39.89%,0.41%,0.55%,2.62%,2.24%
ESPINOZA,"112,154",4.03%,0.23%,0.38%,0.27%,0.17%,94.91%
HOWELL,"112,041",79.48%,15.08%,0.46%,0.72%,1.80%,2.46%
LI,"111,786",1.49%,0.19%,96.78%,0.02%,0.89%,0.63%
WONG,"111,371",3.48%,0.79%,86.49%,0.04%,5.20%,4.00%
REID,"111,360",59.83%,34.10%,0.61%,0.56%,2.28%,2.62%
HANSON,"111,144",92.11%,2.85%,0.70%,0.67%,1.55%,2.11%
LE,"110,967",1.49%,0.23%,95.59%,0.03%,1.92%,0.75%
MCCOY,"110,744",66.88%,26.71%,0.46%,0.89%,2.43%,2.64%
GARRETT,"110,697",69.96%,24.45%,0.44%,0.60%,2.34%,2.20%
BURTON,"110,529",67.32%,27.06%,0.53%,0.51%,2.25%,2.34%
FULLER,"110,116",73.22%,21.06%,0.60%,0.63%,2.16%,2.33%
WANG,"109,883",2.59%,0.29%,95.24%,0.02%,1.50%,0.35%
WEBER,"109,433",94.29%,1.29%,0.63%,0.36%,1.25%,2.18%
WELCH,"108,987",83.47%,10.44%,0.54%,1.11%,1.90%,2.55%
ROJAS,"108,421",4.12%,0.37%,0.76%,0.12%,0.16%,94.46%
LUCAS,"107,690",69.10%,18.51%,1.63%,0.52%,2.19%,8.05%
MARQUEZ,"107,533",5.10%,0.54%,2.83%,0.37%,0.46%,90.70%
FIELDS,"107,522",57.66%,35.78%,0.39%,1.24%,2.66%,2.28%
PARK,"106,696",23.34%,0.79%,72.98%,0.16%,1.74%,1.00%
YANG,"106,033",1.03%,0.20%,96.81%,0.02%,1.50%,0.45%
LITTLE,"105,936",70.11%,24.26%,0.44%,1.26%,1.93%,2.01%
BANKS,"105,833",39.27%,54.51%,0.36%,0.43%,2.98%,2.45%
PADILLA,"105,365",6.15%,0.40%,2.10%,0.79%,0.41%,90.16%
DAY,"105,091",83.08%,10.44%,1.02%,1.08%,1.97%,2.40%
WALSH,"105,079",94.48%,1.11%,0.65%,0.23%,1.35%,2.20%
BOWMAN,"105,007",80.82%,13.62%,0.48%,0.80%,2.05%,2.23%
SCHULTZ,"104,888",94.81%,0.70%,0.59%,0.41%,1.28%,2.22%
LUNA,"104,518",8.15%,0.40%,1.84%,0.41%,0.41%,88.78%
FOWLER,"104,515",81.41%,12.89%,0.48%,0.96%,2.10%,2.16%
MEJIA,"104,057",3.37%,0.45%,1.33%,0.14%,0.20%,94.51%
DAVIDSON,"103,930",84.38%,10.08%,0.65%,0.65%,1.88%,2.35%
ACOSTA,"103,418",6.96%,0.62%,2.26%,0.26%,0.43%,89.48%
BREWER,"103,318",81.30%,12.64%,0.42%,1.35%,2.09%,2.19%
MAY,"103,306",83.55%,9.57%,1.22%,0.73%,1.89%,3.04%
HOLLAND,"102,538",76.77%,17.67%,0.46%,0.57%,2.16%,2.37%
JUAREZ,"101,949",3.42%,0.22%,0.39%,0.16%,0.15%,95.66%
NEWMAN,"101,931",83.03%,11.08%,0.61%,0.69%,1.99%,2.60%
PEARSON,"101,836",72.14%,22.51%,0.56%,0.41%,2.14%,2.24%
CURTIS,"101,801",77.90%,15.84%,0.53%,1.03%,2.13%,2.57%
CORTEZ,"101,694",6.00%,0.70%,2.92%,0.29%,0.44%,89.65%
DOUGLAS,"101,458",58.62%,34.67%,0.52%,0.70%,2.69%,2.80%
SCHNEIDER,"101,290",95.35%,0.43%,0.59%,0.27%,1.20%,2.16%
JOSEPH,"100,959",29.59%,54.19%,9.76%,0.99%,2.49%,2.98%
BARRETT,"100,104",80.70%,13.40%,0.67%,0.62%,1.96%,2.65%
NAVARRO,"99,807",6.66%,0.38%,4.04%,0.23%,0.55%,88.14%
FIGUEROA,"98,468",4.93%,0.84%,1.00%,0.15%,0.26%,92.82%
KELLER,"98,268",91.40%,3.86%,0.57%,0.46%,1.45%,2.26%
AVILA,"97,314",7.02%,0.43%,1.11%,0.23%,0.26%,90.96%
WADE,"97,040",64.94%,29.08%,0.47%,0.74%,2.44%,2.34%
MOLINA,"96,979",5.82%,0.51%,2.28%,0.64%,0.42%,90.32%
STANLEY,"96,867",78.79%,15.10%,0.74%,1.16%,1.95%,2.27%
HOPKINS,"96,810",73.56%,20.66%,0.48%,0.92%,2.25%,2.14%
CAMPOS,"96,111",7.11%,0.39%,1.38%,0.21%,0.39%,90.52%
BARNETT,"95,681",76.44%,17.47%,0.43%,0.90%,2.20%,2.56%
BATES,"95,622",75.35%,18.90%,0.55%,0.76%,2.03%,2.41%
CHAMBERS,"94,988",65.70%,28.50%,0.45%,0.58%,2.29%,2.47%
CALDWELL,"93,944",68.05%,26.18%,0.42%,0.74%,2.32%,2.29%
BECK,"93,786",90.27%,4.53%,0.74%,0.63%,1.66%,2.17%
LAMBERT,"93,678",83.66%,9.88%,0.59%,1.30%,1.77%,2.79%
MIRANDA,"93,628",12.32%,1.34%,4.21%,0.42%,0.75%,80.97%
BYRD,"92,904",59.01%,34.59%,0.36%,1.30%,2.64%,2.11%
CRAIG,"92,507",79.03%,15.15%,0.61%,0.78%,2.06%,2.37%
AYALA,"92,463",4.37%,0.54%,0.47%,0.20%,0.18%,94.25%
LOWE,"92,260",73.04%,19.35%,1.68%,0.96%,2.41%,2.56%
FRAZIER,"92,152",56.10%,37.36%,0.40%,1.36%,2.51%,2.27%
POWERS,"91,970",89.60%,5.15%,0.65%,0.55%,1.65%,2.39%
NEAL,"91,694",62.10%,31.84%,0.60%,0.68%,2.61%,2.16%
LEONARD,"91,475",80.38%,14.07%,0.59%,0.77%,1.77%,2.42%
GREGORY,"91,384",78.64%,15.56%,0.57%,0.75%,1.99%,2.49%
CARRILLO,"91,129",5.13%,0.24%,0.68%,0.36%,0.24%,93.33%
